file_name,absolute_path,file_type,file_size_bytes,modified_time,rows,columns,candidate_role
binary_df.csv,D:\UBUNTU_RESEARCH\REFERENCE\Phase_01_Environment_Setup\binary_df.csv,.csv,9369699,Mon Aug 10 19:53:12 2026,368851,12,Primary Feature Matrix
vus_only_variants.csv,D:\UBUNTU_RESEARCH\REFERENCE\Phase_01_Environment_Setup\vus_only_variants.csv,.csv,75986776,Mon Aug 10 19:53:07 2026,369993,14,VUS Holdout Target Matrix
